Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,Tags,Prefix (Flat),Depth,Pool,Marked Utilized
"•
        
    

131.112.95.192/26",Active,0,Global,0%,,,math-5 (641),BRANCH,,Global,131.112.95.192/26,1,False,False
"•
        
    

131.112.96.0/26",Active,0,Global,0%,,,pe-3 (930),BRANCH,,Global,131.112.96.0/26,1,False,False
"•
        
    

131.112.97.0/26",Active,0,Global,0%,,,mes-2 (817),BRANCH,,Global,131.112.97.0/26,1,False,False
"•
        
    

131.112.97.64/26",Active,0,Global,0%,,,mes-3 (816),BRANCH,,Global,131.112.97.64/26,1,False,False
"•
        
    

131.112.97.128/26",Active,0,Global,0%,,,mes-4 (815),BRANCH,,Global,131.112.97.128/26,1,False,False
"•
        
    

131.112.97.192/26",Active,0,Global,0%,,,mes-5 (814),BRANCH,,Global,131.112.97.192/26,1,False,False
"•
        
    

131.112.99.0/26",Active,0,Global,0%,,,mes-6 (813),BRANCH,,Global,131.112.99.0/26,1,False,False
"•
        
    

131.112.99.64/26",Active,0,Global,0%,,,mes-7 (812),BRANCH,,Global,131.112.99.64/26,1,False,False
"•
        
    

131.112.99.128/26",Active,0,Global,0%,,,mes-8 (811),BRANCH,,Global,131.112.99.128/26,1,False,False
"•
        
    

131.112.99.192/26",Active,0,Global,0%,,,mes-10 (759),BRANCH,,Global,131.112.99.192/26,1,False,False
"•
        
    

131.112.100.0/24",Active,0,Global,0%,,,mep-1 (764),BRANCH,,Global,131.112.100.0/24,1,False,False
"•
        
    

131.112.102.0/23",Active,0,Global,0%,,,me-1 (957),BRANCH,,Global,131.112.102.0/23,1,False,False
"•
        
    

131.112.104.0/24",Active,0,Global,0%,,,eae-1 (651),BRANCH,,Global,131.112.104.0/24,1,False,False
"•
        
    

131.112.105.0/25",Active,0,Global,0%,,,polymer-2 (830),BRANCH,,Global,131.112.105.0/25,1,False,False
"•
        
    

131.112.105.128/26",Active,0,Global,0%,,,polymer-1 (859),BRANCH,,Global,131.112.105.128/26,1,False,False
"•
        
    

131.112.105.192/26",Active,0,Global,0%,,,polymer-3 (829),BRANCH,,Global,131.112.105.192/26,1,False,False
"•
        
    

131.112.106.0/26",Active,0,Global,0%,,,rcltp-1 (735),BRANCH,,Global,131.112.106.0/26,1,False,False
"•
        
    

131.112.107.0/24",Active,0,Global,0%,,,hum-1 (959),BRANCH,,Global,131.112.107.0/24,1,False,False
"•
        
    

131.112.108.0/24",Active,0,Global,0%,,,cv-2 (834),BRANCH,,Global,131.112.108.0/24,1,False,False
"•
        
    

131.112.109.0/26",Active,0,Global,0%,,,mei-5 (747),BRANCH,,Global,131.112.109.0/26,1,False,False
"•
        
    

131.112.109.64/26",Active,0,Global,0%,,,mei-6 (746),BRANCH,,Global,131.112.109.64/26,1,False,False
"•
        
    

131.112.109.128/26",Active,0,Global,0%,,,mei-7 (745),BRANCH,,Global,131.112.109.128/26,1,False,False
"•
        
    

131.112.109.192/26",Active,0,Global,0%,,,mei-8 (744),BRANCH,,Global,131.112.109.192/26,1,False,False
"•
        
    

131.112.112.0/24",Active,0,Global,0%,,,elsi-1 (610),BRANCH,,Global,131.112.112.0/24,1,False,False
"•
        
    

131.112.113.0/28",Active,0,Global,0%,,,ee-4 (477),BRANCH,,Global,131.112.113.0/28,1,False,False
"•
        
    

131.112.114.0/26",Active,0,Global,0%,,,gh4 (756),BRANCH,,Global,131.112.114.0/26,1,False,False
"•
        
    

131.112.115.0/26",Active,0,Global,0%,,,nr-1 (885),BRANCH,,Global,131.112.115.0/26,1,False,False
"•
        
    

131.112.115.64/26",Active,0,Global,0%,,,nr-2 (884),BRANCH,,Global,131.112.115.64/26,1,False,False
"•
        
    

131.112.115.128/26",Active,0,Global,0%,,,nr-5 (860),BRANCH,,Global,131.112.115.128/26,1,False,False
"•
        
    

131.112.115.192/26",Active,0,Global,0%,,,nr-3 (883),BRANCH,,Global,131.112.115.192/26,1,False,False
"•
        
    

131.112.116.0/24",Active,0,Global,0%,,,sci-1 (507),BRANCH,,Global,131.112.116.0/24,1,False,False
"•
        
    

131.112.117.0/24",Active,0,Global,0%,,,geo-1 (904),BRANCH,,Global,131.112.117.0/24,1,False,False
"•
        
    

131.112.118.0/24",Active,0,Global,0%,,,ce-3 (921),BRANCH,,Global,131.112.118.0/24,1,False,False
"•
        
    

131.112.119.64/27",Active,0,Global,0%,,,libra-3 (874),BRANCH,,Global,131.112.119.64/27,1,False,False
"•
        
    

131.112.120.64/26",Active,0,Global,0%,,,mech-1 (804),BRANCH,,Global,131.112.120.64/26,1,False,False
